sentences,axes,ptypes,scores,dnames
What's the top percent for some view and which place's got it?,Colloquial-Standard,lookup-nonvisual,1,kong|kong_27
What's the max percentage of a certain viewpoint and which country's got it?,Colloquial-Standard,lookup-nonvisual,2,kong|kong_27
What's the highest percentage of a particular opinion and which country does it come from?,Colloquial-Standard,lookup-nonvisual,3,kong|kong_27
Could you tell me the maximum percentage of a specific opinion and the country it originates from?,Colloquial-Standard,lookup-nonvisual,4,kong|kong_27
Could you please inform me of the maximum percentage associated with a particular viewpoint and the country from which it originates?,Colloquial-Standard,lookup-nonvisual,5,kong|kong_27
What's the most popular view and where's it most common?,Non-technical-Technical,lookup-nonvisual,1,kong|kong_27
What's the most common belief and where is it found the most?,Non-technical-Technical,lookup-nonvisual,2,kong|kong_27
What is the most prevalent viewpoint and in which nation is it most common?,Non-technical-Technical,lookup-nonvisual,3,kong|kong_27
What is the maximum proportion of a particular viewpoint and which nation does it predominantly belong to?,Non-technical-Technical,lookup-nonvisual,4,kong|kong_27
What is the maximum percentile representation of a specific perspective and to which geopolitical entity does it primarily pertain?,Non-technical-Technical,lookup-nonvisual,5,kong|kong_27
"I'm really curious to know, which opinion has the most people backing it up and which country are these people from?",Subjective-Objective,lookup-nonvisual,1,kong|kong_27
"I'm wondering, which viewpoint has the most support and which country does this viewpoint come from?",Subjective-Objective,lookup-nonvisual,2,kong|kong_27
Could you tell me which perspective has the highest percentage of support and the country it originates from?,Subjective-Objective,lookup-nonvisual,3,kong|kong_27
What is the most prevalent opinion and the country it is most associated with?,Subjective-Objective,lookup-nonvisual,4,kong|kong_27
Please provide the data on the opinion with the highest percentage of support and the country it is most prevalent in.,Subjective-Objective,lookup-nonvisual,5,kong|kong_27
Any idea about the peak popularity of a viewpoint and its geographical origin?,Implicit-Explicit,lookup-nonvisual,1,kong|kong_27
Can you guess the maximum popularity of a certain belief and its homeland?,Implicit-Explicit,lookup-nonvisual,2,kong|kong_27
Do you know the maximum percentage of a particular opinion and its associated country?,Implicit-Explicit,lookup-nonvisual,3,kong|kong_27
Can you tell me the highest percentage of a specific opinion and the country it's from?,Implicit-Explicit,lookup-nonvisual,4,kong|kong_27
Please provide the highest percentage of a specific opinion and the country it originates from.,Implicit-Explicit,lookup-nonvisual,5,kong|kong_27
"Which country's bar, showing what they think, goes the furthest on the x-axis?",Colloquial-Standard,lookup-visual,1,kong|kong_27
"Which country's bar, showing their viewpoint, stretches the furthest on the x-axis?",Colloquial-Standard,lookup-visual,2,kong|kong_27
"Which country's bar, indicating their perspective, extends the most along the x-axis?",Colloquial-Standard,lookup-visual,3,kong|kong_27
"Which country's bar, representing their stance, extends the furthest along the x-axis?",Colloquial-Standard,lookup-visual,4,kong|kong_27
"Which nation's bar, symbolizing a particular viewpoint, extends the furthest along the x-axis?",Colloquial-Standard,lookup-visual,5,kong|kong_27
"Which country's bar, showing what they think, goes the furthest to the right?",Non-technical-Technical,lookup-visual,1,kong|kong_27
"Which country's bar, showing a particular viewpoint, goes the furthest along the line?",Non-technical-Technical,lookup-visual,2,kong|kong_27
"Which country's bar, indicating a specific perspective, extends the most on the horizontal line?",Non-technical-Technical,lookup-visual,3,kong|kong_27
"Which country's bar, representing a distinct stance, extends the furthest along the horizontal axis?",Non-technical-Technical,lookup-visual,4,kong|kong_27
"Which nation's graphical representation, indicative of a specific ideological position, exhibits the greatest extension along the abscissa?",Non-technical-Technical,lookup-visual,5,kong|kong_27
"Which country's bar, which clearly shows the most popular opinion, stretches the furthest along the x-axis?",Subjective-Objective,lookup-visual,1,kong|kong_27
"Which country's bar, showing what seems to be the dominant opinion, extends the furthest along the x-axis?",Subjective-Objective,lookup-visual,2,kong|kong_27
"Which country's bar, representing an opinion, extends the furthest along the x-axis?",Subjective-Objective,lookup-visual,3,kong|kong_27
"Which country's bar, representing a particular viewpoint, extends the furthest along the x-axis?",Subjective-Objective,lookup-visual,4,kong|kong_27
"Which country's bar, representing a data point, extends the furthest along the x-axis?",Subjective-Objective,lookup-visual,5,kong|kong_27
Can you tell which country's bar seems to stretch the most along the line?,Implicit-Explicit,lookup-visual,1,kong|kong_27
Do you see a bar that's stretching more than the others along the line?,Implicit-Explicit,lookup-visual,2,kong|kong_27
Can you identify the country whose bar extends the most along the x-axis?,Implicit-Explicit,lookup-visual,3,kong|kong_27
Which country's bar extends the most along the x-axis?,Implicit-Explicit,lookup-visual,4,kong|kong_27
Identify the country whose bar extends the furthest along the x-axis.,Implicit-Explicit,lookup-visual,5,kong|kong_27
What's the gap between the biggest and smallest percent of a certain view and which countries are they from?,Colloquial-Standard,compositional-nonvisual,1,kong|kong_27
What's the difference between the highest and lowest percent of a certain viewpoint and which countries are they in?,Colloquial-Standard,compositional-nonvisual,2,kong|kong_27
Can you tell me the difference between the highest and lowest percentage of a certain opinion and the countries they belong to?,Colloquial-Standard,compositional-nonvisual,3,kong|kong_27
Could you clarify the difference between the maximum and minimum percentage of a certain opinion and the countries they are associated with?,Colloquial-Standard,compositional-nonvisual,4,kong|kong_27
Could you elucidate the disparity between the highest and lowest percentage of a particular viewpoint and the countries to which they pertain?,Colloquial-Standard,compositional-nonvisual,5,kong|kong_27
"Can you tell me the biggest and smallest amount of people who think the same way about something, and where they're from?",Non-technical-Technical,compositional-nonvisual,1,kong|kong_27
"Can you explain the gap between the most and least common view on something, and which countries do these views come from?",Non-technical-Technical,compositional-nonvisual,2,kong|kong_27
"Could you clarify the disparity between the maximum and minimum proportion of a particular viewpoint, and identify the countries associated with these proportions?",Non-technical-Technical,compositional-nonvisual,3,kong|kong_27
"Can you elucidate the variance between the apex and nadir percentages of a specific sentiment, and the countries they correspond to?",Non-technical-Technical,compositional-nonvisual,4,kong|kong_27
"Could you explicate the divergence between the zenith and nadir percentile of a particular perspective, and the nations they are attributable to?",Non-technical-Technical,compositional-nonvisual,5,kong|kong_27
"I'm really curious to know, what's the gap between the most and least popular opinion, and which countries are they associated with? It's fascinating, isn't it?",Subjective-Objective,compositional-nonvisual,1,kong|kong_27
"I'm interested to find out the difference between the highest and lowest percentage of a certain viewpoint, and I wonder which countries they're from.",Subjective-Objective,compositional-nonvisual,2,kong|kong_27
Can we discuss the difference between the highest and lowest percentage of a certain opinion and the countries they belong to?,Subjective-Objective,compositional-nonvisual,3,kong|kong_27
It would be informative to know the difference between the highest and lowest percentage of a certain opinion and the countries they are associated with.,Subjective-Objective,compositional-nonvisual,4,kong|kong_27
Please provide the difference between the highest and lowest percentage of a certain opinion and specify the countries they belong to.,Subjective-Objective,compositional-nonvisual,5,kong|kong_27
Can you tell me about the extremes of this opinion and their geographical distribution?,Implicit-Explicit,compositional-nonvisual,1,kong|kong_27
Could you shed some light on the range of this viewpoint and its association with certain places?,Implicit-Explicit,compositional-nonvisual,2,kong|kong_27
Can you explain the range of this particular opinion and the countries associated with the highest and lowest percentages?,Implicit-Explicit,compositional-nonvisual,3,kong|kong_27
Can you clarify the highest and lowest percentages of this opinion and identify the countries they correspond to?,Implicit-Explicit,compositional-nonvisual,4,kong|kong_27
Please provide the highest and lowest percentages of this opinion and specify the countries they belong to.,Implicit-Explicit,compositional-nonvisual,5,kong|kong_27
"So, how much longer is the longest bar than the shortest one, and which countries do they stand for?",Colloquial-Standard,compositional-visual,1,kong|kong_27
"Can you tell me the length difference between the longest and shortest bars, and which countries they're for?",Colloquial-Standard,compositional-visual,2,kong|kong_27
"Could you explain the difference in length between the longest and shortest bars, and the countries they represent?",Colloquial-Standard,compositional-visual,3,kong|kong_27
"Would you mind clarifying the length discrepancy between the longest and shortest bars, and the countries they symbolize?",Colloquial-Standard,compositional-visual,4,kong|kong_27
"Could you elucidate the disparity in length between the longest and shortest bars, and the respective countries they represent?",Colloquial-Standard,compositional-visual,5,kong|kong_27
"Can you tell me which bars are the longest and shortest, what they stand for, and which countries they're about?",Non-technical-Technical,compositional-visual,1,kong|kong_27
"Can you explain the difference in size between the longest and shortest bars, what they mean, and the countries they represent?",Non-technical-Technical,compositional-visual,2,kong|kong_27
"Could you clarify the length disparity between the longest and shortest bars, their corresponding opinion, and the countries they represent?",Non-technical-Technical,compositional-visual,3,kong|kong_27
"Can you elucidate the length differential between the maximum and minimum bars, their associated viewpoint, and the nations they signify?",Non-technical-Technical,compositional-visual,4,kong|kong_27
